iter	MAE
0	2.389823172
1	2.371399512
2	2.349633944
3	2.329045018
4	2.309322039
5	2.289588519
6	2.27959549
7	2.263426106
8	2.253070548
9	2.245407076
10	2.233141999
11	2.226653673
12	2.216280848
13	2.204878268
14	2.196322586
15	2.188442406
16	2.178449472
17	2.166739447
18	2.163611175
19	2.158283201
20	2.151284539
21	2.142150761
22	2.134214349
23	2.129186686
24	2.126227283
25	2.123249448
26	2.116080111
27	2.110661489
28	2.103457076
29	2.100203679
30	2.093451957
31	2.091775273
32	2.0857159
33	2.08008718
34	2.066007269
35	2.057185417
36	2.05456049
37	2.047480044
38	2.043845249
39	2.034091245
40	2.029047433
41	2.027857196
42	2.023912748
43	2.017246578
44	2.007027013
45	2.003169231
46	1.998479724
47	1.991631978
48	1.986287206
49	1.979890773
50	1.974533663
51	1.971895112
52	1.969115641
53	1.961437038
54	1.95793425
55	1.953940755
56	1.94731782
57	1.943416764
58	1.942433205
59	1.936378309
60	1.932258222
61	1.927502759
62	1.927167974
63	1.924739923
64	1.922163576
65	1.919772313
66	1.918216303
67	1.91032396
68	1.907673624
69	1.903214631
70	1.89698149
71	1.894458312
72	1.893067954
73	1.889501587
74	1.885940837
75	1.880220173
76	1.877125564
77	1.870519677
78	1.864393994
79	1.860762406
80	1.858110875
81	1.85594372
82	1.851542093
83	1.848913106
84	1.84776411
85	1.843264441
86	1.836742314
87	1.833859025
88	1.831183977
89	1.830531994
90	1.825840424
91	1.820077136
92	1.816133823
93	1.815517909
94	1.813849591
95	1.808397132
96	1.807641584
97	1.801740899
98	1.799228533
99	1.797575406
100	1.796103555
101	1.794100144
102	1.789932564
103	1.789095978
104	1.78608451
105	1.786059757
106	1.783826395
107	1.78278654
108	1.781903023
109	1.778902523
110	1.77708964
111	1.771837001
112	1.769821617
113	1.767288975
114	1.763397775
115	1.760292481
116	1.759825352
117	1.758730546
118	1.757010307
119	1.752978343
120	1.752806684
121	1.746051977
122	1.743093165
123	1.741175472
124	1.739905843
125	1.737489012
126	1.736881296
127	1.733793957
128	1.729207011
129	1.726314106
130	1.724518836
131	1.717629704
132	1.712639174
133	1.710141706
134	1.704809507
135	1.703578214
136	1.700405076
137	1.698268234
138	1.694258809
139	1.691533784
140	1.688731454
141	1.686417079
142	1.683999498
143	1.678457543
144	1.673460821
145	1.670315247
146	1.668659576
147	1.666826571
148	1.665199377
149	1.657475968
150	1.655632659
151	1.65362784
152	1.650517461
153	1.645814368
154	1.644626032
155	1.644133107
156	1.638777334
157	1.63343721
158	1.62965306
159	1.625981268
160	1.62384157
161	1.621592497
162	1.619819621
163	1.615256893
164	1.612051071
165	1.609234344
166	1.608463909
167	1.602885809
168	1.600100197
169	1.599511466
170	1.594834506
171	1.592048275
172	1.589035089
173	1.583234614
174	1.579062607
175	1.57838752
176	1.577163686
177	1.575260117
178	1.574831022
179	1.57171294
180	1.56947779
181	1.567676701
182	1.561702231
183	1.558748449
184	1.556485502
185	1.55294067
186	1.550424929
187	1.547602914
188	1.545081425
189	1.543453135
190	1.539923677
191	1.538960018
192	1.535708932
193	1.53449805
194	1.532873138
195	1.528886728
196	1.528067131
197	1.523209256
198	1.518551335
199	1.515708967
200	1.513610861
201	1.510365139
202	1.507808846
203	1.506040573
204	1.505175006
205	1.501269542
206	1.501049646
207	1.500309963
208	1.497759208
209	1.493410943
210	1.490517982
211	1.485888824
212	1.483448877
213	1.479056714
214	1.477111705
215	1.473710058
216	1.470982871
217	1.46866534
218	1.465953403
219	1.463548838
220	1.460234478
221	1.458025043
222	1.456809404
223	1.452009755
224	1.450144408
225	1.447124545
226	1.445314072
227	1.440660048
228	1.439852538
229	1.437139314
230	1.432801918
231	1.428563933
232	1.425935818
233	1.422706397
234	1.420391166
235	1.418788817
236	1.417890893
237	1.416495339
238	1.41465087
239	1.413469988
240	1.412367463
241	1.410319624
242	1.409642369
243	1.407595649
244	1.405688301
245	1.404443112
246	1.404153804
247	1.399599683
248	1.397756001
249	1.396562269
250	1.394848041
251	1.391844654
252	1.391067044
253	1.387834441
254	1.386524887
255	1.38431818
256	1.382351533
257	1.378619829
258	1.375723371
259	1.370007855
260	1.368882922
261	1.367422562
262	1.365641318
263	1.363610373
264	1.360027278
265	1.358364705
266	1.356888898
267	1.353888111
268	1.349910229
269	1.346622643
270	1.345218342
271	1.342709601
272	1.33973608
273	1.337498095
274	1.334632581
275	1.333713637
276	1.331169588
277	1.326631189
278	1.325491266
279	1.324622702
280	1.323738207
281	1.32312102
282	1.320782446
283	1.31885296
284	1.317732646
285	1.313305926
286	1.312395343
287	1.311205983
288	1.309851418
289	1.308067124
290	1.307723836
291	1.305618246
292	1.303624039
293	1.30207645
294	1.300662841
295	1.297574957
296	1.297124038
297	1.295368994
298	1.291920773
299	1.291081015
300	1.289108177
301	1.28553823
302	1.284964831
303	1.283156393
304	1.282335131
305	1.281859141
306	1.279488662
307	1.278334585
308	1.275925557
309	1.274590646
310	1.272716304
