iter	Passed	Remaining
0	1	632
1	2	593
2	3	567
3	4	532
4	5	516
5	6	498
6	6	464
7	7	455
8	8	451
9	8	420
10	9	419
11	9	405
12	10	407
13	12	419
14	13	422
15	13	415
16	14	414
17	15	415
18	16	407
19	16	400
20	18	421
21	19	418
22	20	416
23	20	414
24	22	425
25	22	415
26	23	412
27	24	409
28	25	406
29	26	408
30	27	411
31	28	412
32	29	420
33	30	422
34	31	421
35	32	418
36	33	418
37	34	417
38	34	412
39	35	411
40	36	409
41	37	403
42	37	403
43	38	401
44	39	400
45	40	399
46	41	396
47	41	394
48	42	392
49	43	391
50	44	392
51	45	391
52	46	389
53	47	388
54	47	387
55	48	385
56	49	385
57	50	384
58	50	380
59	51	378
60	52	376
61	53	375
62	53	370
63	54	368
64	54	367
65	55	365
66	56	364
67	57	365
68	58	364
69	58	362
70	60	363
71	61	363
72	61	361
73	63	364
74	64	363
75	65	362
76	65	362
77	66	360
78	67	361
79	68	361
80	69	360
81	70	358
82	71	357
83	71	355
84	72	353
85	73	352
86	73	350
87	74	348
88	75	348
89	76	346
90	77	347
91	78	346
92	78	345
93	79	344
94	80	342
95	81	341
96	81	340
97	82	339
98	83	338
99	84	337
100	84	335
101	85	334
102	86	333
103	87	331
104	87	330
105	88	327
106	88	326
107	89	325
108	90	323
109	91	322
110	91	322
111	92	321
112	93	320
113	94	319
114	95	318
115	95	317
116	96	314
117	96	313
118	97	312
119	98	311
120	98	308
121	99	307
122	100	307
123	101	308
124	102	307
125	103	306
126	103	304
127	106	308
128	109	315
129	115	329
130	128	362
131	131	365
132	137	380
133	147	401
134	160	432
135	161	433
136	164	435
137	167	438
138	169	439
139	171	441
140	174	445
141	177	448
142	181	451
143	182	450
144	184	451
145	185	449
146	188	452
147	191	454
148	193	454
149	194	453
150	195	452
151	198	454
152	199	452
153	200	450
154	201	448
155	202	445
156	202	443
157	203	440
158	205	440
159	206	438
160	207	437
161	208	435
162	209	433
163	210	431
164	211	428
165	212	426
166	212	424
167	213	422
168	214	420
169	215	418
170	216	416
171	217	414
172	217	411
173	218	409
174	219	407
175	220	405
176	221	403
177	221	401
178	223	399
179	224	398
180	225	396
181	225	394
182	226	392
183	227	390
184	228	388
185	229	386
186	230	385
187	231	383
188	232	381
189	232	379
190	233	377
191	234	376
192	235	374
193	235	372
194	236	370
195	237	368
196	238	366
197	239	364
198	240	363
199	240	361
200	241	359
201	242	357
202	243	356
203	244	354
204	244	352
205	245	350
206	246	349
207	247	347
208	248	345
209	248	343
210	249	341
211	250	340
212	251	338
213	252	337
214	252	335
215	253	333
216	254	332
217	255	330
218	256	328
219	257	328
220	258	326
221	259	324
222	260	323
223	261	321
224	261	320
225	262	318
226	263	317
227	264	315
228	265	313
229	265	312
230	266	310
231	267	308
232	268	307
233	269	305
234	269	304
235	270	302
236	271	301
237	272	299
238	273	298
239	274	296
240	274	295
241	275	293
242	276	292
243	277	291
244	278	289
245	279	288
246	280	287
247	281	285
248	281	284
249	282	282
250	283	281
251	284	279
252	284	278
253	285	276
254	286	275
255	287	274
256	288	272
257	289	271
258	289	269
259	290	268
260	291	266
261	292	265
262	293	264
263	293	262
264	294	261
265	295	260
266	296	258
267	297	257
268	297	255
269	298	254
270	299	253
271	300	251
272	301	250
273	301	248
274	302	247
275	303	246
276	304	245
277	305	244
278	306	242
279	307	241
280	307	240
281	308	238
282	309	237
283	310	236
284	311	234
285	311	233
286	312	232
287	313	230
288	314	229
289	314	228
290	316	227
291	317	225
292	318	224
293	318	223
294	319	222
295	320	221
296	321	219
297	322	218
298	323	217
299	324	216
300	325	215
301	326	213
302	326	212
303	327	211
304	328	210
305	329	208
306	330	207
307	331	206
308	332	205
309	332	204
310	333	202
311	334	201
312	335	200
313	336	199
314	336	197
315	337	196
316	338	195
317	339	194
318	340	192
319	340	191
320	341	190
321	342	189
322	343	187
323	343	186
324	344	185
325	345	184
326	346	183
327	346	181
328	347	180
329	348	179
330	349	178
331	349	177
332	350	175
333	351	174
334	352	173
335	353	172
336	354	171
337	355	170
338	356	169
339	357	168
340	358	167
341	359	165
342	359	164
343	361	163
344	361	162
345	362	161
346	363	160
347	364	159
348	365	158
349	366	156
350	367	155
351	368	154
352	369	153
353	369	152
354	370	151
355	371	150
356	372	149
357	372	147
358	373	146
359	375	145
360	375	144
361	376	143
362	377	142
363	378	141
364	378	140
365	379	139
366	380	137
367	382	137
368	382	135
369	383	134
370	384	133
371	385	132
372	386	131
373	386	130
374	387	129
375	388	128
376	389	127
377	389	125
378	390	124
379	392	123
380	393	122
381	394	121
382	394	120
383	395	119
384	396	118
385	397	117
386	397	116
387	398	115
388	399	114
389	400	113
390	401	111
391	402	110
392	403	109
393	403	108
394	404	107
395	405	106
396	406	105
397	406	104
398	407	103
399	408	102
400	409	101
